hts,desc
84181000,"Combined refrigerator-freezers, fitted with separate external doors"
8418998005,"Refrigeration condensing units, not exceeding 746 W"
8418998050,Parts of combined refrigerator-freezers fitted with separate external doors and parts of household type refrigerators
8418998060,"Parts of refrigerators, freezers and other refrigerating or freezing equipment, nesoi"
84195010,Heat exchange units
84195050,"Heat exchange units, other"
84199010,Parts of machinery for treatment of materials by temperature
8422900640,Parts of dishwashing machines
8424909080,"Parts of mechanical appliances for projecting, dispersing, spraying liquid or powder; spray guns and similar appliances, nesoi"
84431600,Flexographic printing machinery
84501100,"Household- or laundry-type washing machines, each of a dry linen capacity not exceeding 10 kg, fully automatic"
84512100,"Drying machines, each of a dry linen capacity not exceeding 10 kg"
84672200,"Electromechanical saws for working in the hand, with self-contained electric motor 26"
84672900,"Electromechanical tools for working in the hand, other than drills or saws, with self-contained electric motor"
84678100,"Chain saws for working in the hand, hydraulic or with self-contained nonelectric motor"
84678950,"Other tools for working in the hand, hydraulic or with self-contained nonelectric motor, other than suitable for metal working, nesoi"
84799085,"Parts of trash compactors, nesoi"
8481909060,"Valve bodies, nesoi"
8481909085,"Parts of taps, cocks, valves and similar appliances, nesoi"
8483405020,Gear boxes and speed changers for wind turbines described in statistical note 6 to chapter 84 of the HTSUS
8483905020,Parts of gear boxes and speed changers for wind turbines
8487900080,"Machinery parts not containing electrical features, and not specified or included elsewhere in chapter 84 of the HTSUS, except ships’ propellers"
8501640110,"AC generators (alternators), of an output exceeding 750 kVa for wind- powered generating sets, classified within heading 8502.31.00"
85022000,"Electric generating sets, spark-ignition internal-combustion piston engines"
85023100,"Electric generating sets, wind-powered"
8503009520,"Electric motor parts, nesoi"
8503009546,Generator parts for AC generators (alternators) classified within heading
8501640021,
8503009570,Parts of wind-powered generating sets classified in subheading 8502.31
85043120,"Transformers, electric, having a power-handling capacity not exceeding 1 kVA"
85043140,"Transformers, electric, having a power-handling capacity not exceeding 1 kVA"
85043160,"Transformers, electric, having a power-handling capacity not exceeding 1 kVA"
85043300,"Transformers, electric, having a power-handling capacity exceeding 16 kVA but not exceeding 500 kVA"
85049041,Parts of power supplies (other than printed circuit assemblies) for automatic data processing machines or units thereof of heading 8471
85087000,Vacuum cleaner parts
85139020,Flashlight parts
85159020,Welding machine parts and parts of apparatus
85169050,"Microwave oven parts of subheading 8516.50, nesoi"
8516908050,"Parts for electric cooking stoves, range and ovens of subheading 8516.60.40, nesoi"
85177100,Antennae and antenna reflectors and parts thereof
85299073,"Printed circuit assembly parts, including face plates and lock latches, of radar, radio navigational aid or radio remote control apparatus, nesoi"
8536908585,"Electrical apparatus for switching or protecting electrical circuits, or for making connection with electrical circuits, for a voltage not exceeding 1,000 V, nesoi 27"
85381000,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not equipped with their apparatus"
8543908885,"Parts of electrical machines and apparatus, other"
85441900,"Insulated (including enameled or anodized) winding wire, other than of"
85444290,"Insulated electric conductors nesoi, for a voltage not exceeding 1,000 v, fitted with connectors, nesoi"
85444920,"Insulated electric conductors for a voltage not exceeding 80 V, not fitted with connectors, of a kind not used for telecommunications"
85444990,"Insulated electric conductors for a voltage not exceeding 1,000 V, nesoi"
85446020,"Insulated electric conductors with connectors, for a voltage exceeding 1,000 V"
85446060,"Insulated electric conductors for a voltage exceeding 1,000 V, nesoi"
8547900020,Electrical conduit tubing lined with insulation
8547900030,"Electrical conduit joints lined with insulation, threaded"
8547900040,"Electrical conduit joints lined with insulation, nesoi"
87081030,"Parts and accessories for motor vehicles of headings 8701–8705, bumpers"
87081060,"Parts and accessories of motor vehicles of headings 8701–8705, parts of bumpers"
8708295160,"Other parts and accessories, nesoi, of bodies (including cabs) of headings"
8701,to 8705
87082921,Body stampings for tractors suitable for agriculture
8708806590,"Suspension system parts other than beam hangers, of motor vehicles, nesoi, of headings 8701–8705"
8708996890,"Parts of motor vehicles, nesoi, of headings 8701–8705, for power trains"
87161000,"Trailers and semi-trailers, not mechanically propelled, for housing or camping"
87163900,"Trailers and semi-trailers, not mechanically propelled, nesoi, for the transport of goods"
87169050,Other parts for trailers and semi-trailers
