HTS,clean_hts,Heading,s301_rate
0405.20.30,04052030,9903.88.15,7.5
0405.20.40,04052040,9903.88.15,7.5
0405.20.50,04052050,9903.88.15,7.5
0405.20.60,04052060,9903.88.15,7.5
0405.20.70,04052070,9903.88.15,7.5
0405.20.80,04052080,9903.88.15,7.5
0405.90.05,04059005,9903.88.15,7.5
0405.90.10,04059010,9903.88.15,7.5
0405.90.20,04059020,9903.88.15,7.5
0406.10.02,04061002,9903.88.15,7.5
0406.10.04,04061004,9903.88.15,7.5
0406.10.08,04061008,9903.88.15,7.5
0406.10.12,04061012,9903.88.15,7.5
0406.10.14,04061014,9903.88.15,7.5
0406.10.18,04061018,9903.88.15,7.5
0406.10.24,04061024,9903.88.15,7.5
0406.10.28,04061028,9903.88.15,7.5
0406.10.34,04061034,9903.88.15,7.5
0406.10.38,04061038,9903.88.15,7.5
0406.10.44,04061044,9903.88.15,7.5
0406.10.48,04061048,9903.88.15,7.5
0406.10.54,04061054,9903.88.15,7.5
0406.10.58,04061058,9903.88.15,7.5
0406.10.64,04061064,9903.88.15,7.5
0406.10.68,04061068,9903.88.15,7.5
0406.10.74,04061074,9903.88.15,7.5
0406.10.78,04061078,9903.88.15,7.5
0406.10.84,04061084,9903.88.15,7.5
0406.10.88,04061088,9903.88.15,7.5
0406.10.95,04061095,9903.88.15,7.5
0406.20.10,04062010,9903.88.15,7.5
0406.20.15,04062015,9903.88.15,7.5
0406.20.22,04062022,9903.88.15,7.5
0406.20.24,04062024,9903.88.15,7.5
0406.20.28,04062028,9903.88.15,7.5
0406.20.29,04062029,9903.88.15,7.5
0406.20.31,04062031,9903.88.15,7.5
0406.20.33,04062033,9903.88.15,7.5
0406.20.34,04062034,9903.88.15,7.5
0406.20.36,04062036,9903.88.15,7.5
0406.20.39,04062039,9903.88.15,7.5
0406.20.43,04062043,9903.88.15,7.5
0406.20.44,04062044,9903.88.15,7.5
0406.20.48,04062048,9903.88.15,7.5
0406.20.49,04062049,9903.88.15,7.5
0406.20.51,04062051,9903.88.15,7.5
0406.20.53,04062053,9903.88.15,7.5
0406.20.54,04062054,9903.88.15,7.5
0406.20.55,04062055,9903.88.15,7.5
0406.20.56,04062056,9903.88.15,7.5
0406.20.57,04062057,9903.88.15,7.5
0406.20.61,04062061,9903.88.15,7.5
0406.20.63,04062063,9903.88.15,7.5
0406.20.65,04062065,9903.88.15,7.5
0406.20.67,04062067,9903.88.15,7.5
0406.20.69,04062069,9903.88.15,7.5
0406.20.71,04062071,9903.88.15,7.5
0406.20.73,04062073,9903.88.15,7.5
0406.20.75,04062075,9903.88.15,7.5
0406.20.77,04062077,9903.88.15,7.5
0406.20.79,04062079,9903.88.15,7.5
0406.20.81,04062081,9903.88.15,7.5
0406.20.83,04062083,9903.88.15,7.5
0406.20.85,04062085,9903.88.15,7.5
0406.20.87,04062087,9903.88.15,7.5
0406.20.89,04062089,9903.88.15,7.5
0406.20.91,04062091,9903.88.15,7.5
0406.20.95,04062095,9903.88.15,7.5
0406.30.05,04063005,9903.88.15,7.5
0406.30.12,04063012,9903.88.15,7.5
0406.30.14,04063014,9903.88.15,7.5
0406.30.18,04063018,9903.88.15,7.5
0406.30.22,04063022,9903.88.15,7.5
0406.30.24,04063024,9903.88.15,7.5
0406.30.28,04063028,9903.88.15,7.5
0406.30.32,04063032,9903.88.15,7.5
0406.30.34,04063034,9903.88.15,7.5
0406.30.38,04063038,9903.88.15,7.5
0406.30.42,04063042,9903.88.15,7.5
0406.30.44,04063044,9903.88.15,7.5
0406.30.48,04063048,9903.88.15,7.5
0406.30.49,04063049,9903.88.15,7.5
0406.30.51,04063051,9903.88.15,7.5
0406.30.53,04063053,9903.88.15,7.5
0406.30.55,04063055,9903.88.15,7.5
0406.30.56,04063056,9903.88.15,7.5
0406.30.57,04063057,9903.88.15,7.5
0406.30.61,04063061,9903.88.15,7.5
0406.30.63,04063063,9903.88.15,7.5
0406.30.65,04063065,9903.88.15,7.5
0406.30.67,04063067,9903.88.15,7.5
0406.30.69,04063069,9903.88.15,7.5
0406.30.71,04063071,9903.88.15,7.5
0406.30.73,04063073,9903.88.15,7.5
0406.30.75,04063075,9903.88.15,7.5
0406.30.77,04063077,9903.88.15,7.5
0406.30.79,04063079,9903.88.15,7.5
0406.30.81,04063081,9903.88.15,7.5
0406.30.83,04063083,9903.88.15,7.5
0406.30.85,04063085,9903.88.15,7.5
0406.30.87,04063087,9903.88.15,7.5
0406.30.89,04063089,9903.88.15,7.5
0406.30.91,04063091,9903.88.15,7.5
0406.30.95,04063095,9903.88.15,7.5
0406.40.20,04064020,9903.88.15,7.5
0406.40.40,04064040,9903.88.15,7.5
0406.40.44,04064044,9903.88.15,7.5
0406.40.48,04064048,9903.88.15,7.5
0406.40.51,04064051,9903.88.15,7.5
0406.40.52,04064052,9903.88.15,7.5
0406.40.54,04064054,9903.88.15,7.5
0406.40.58,04064058,9903.88.15,7.5
0406.40.70,04064070,9903.88.15,7.5
0406.90.05,04069005,9903.88.15,7.5
0406.90.06,04069006,9903.88.15,7.5
0406.90.08,04069008,9903.88.15,7.5
0406.90.12,04069012,9903.88.15,7.5
0406.90.14,04069014,9903.88.15,7.5
0406.90.16,04069016,9903.88.15,7.5
0406.90.18,04069018,9903.88.15,7.5
0406.90.20,04069020,9903.88.15,7.5
0406.90.25,04069025,9903.88.15,7.5
0406.90.28,04069028,9903.88.15,7.5
0406.90.31,04069031,9903.88.15,7.5
0406.90.32,04069032,9903.88.15,7.5
0406.90.33,04069033,9903.88.15,7.5
0406.90.34,04069034,9903.88.15,7.5
0406.90.36,04069036,9903.88.15,7.5
0406.90.37,04069037,9903.88.15,7.5
